Company,TypeName,Inches,ScreenResolution,Ram,Gpu,OpSys,Weight,Cpu_speed,Cpu_mark,Memory_GB,Memory_kind,Price
Apple,Ultrabook,13.3,2560x1600,8,Intel Iris Plus Graphics 640,macOS,1.37,2.3,Intel,128.0,SSD,71378.6832
Apple,Ultrabook,13.3,1440x900,8,Intel HD Graphics 6000,macOS,1.34,1.8,Intel,128.0,Flash,47895.5232
HP,Notebook,15.6,1920x1080,8,Intel HD Graphics 620,No OS,1.86,2.5,Intel,256.0,SSD,30636.0
Apple,Ultrabook,15.4,2880x1800,16,AMD Radeon Pro 455,macOS,1.83,2.7,Intel,512.0,SSD,135195.336
Apple,Ultrabook,13.3,2560x1600,8,Intel Iris Plus Graphics 650,macOS,1.37,3.1,Intel,256.0,SSD,96095.808
Acer,Notebook,15.6,1366x768,4,AMD Radeon R5,Windows 10,2.1,3.0,AMD,500.0,HDD,21312.0
Apple,Ultrabook,15.4,2880x1800,16,Intel Iris Pro Graphics,Mac OS X,2.04,2.2,Intel,256.0,Flash,114017.6016
Apple,Ultrabook,13.3,1440x900,8,Intel HD Graphics 6000,macOS,1.34,1.8,Intel,256.0,Flash,61735.536
Asus,Ultrabook,14.0,1920x1080,16,Nvidia GeForce MX150,Windows 10,1.3,1.8,Intel,512.0,SSD,79653.6
Acer,Ultrabook,14.0,1920x1080,8,Intel UHD Graphics 620,Windows 10,1.6,1.6,Intel,256.0,SSD,41025.6
HP,Notebook,15.6,1366x768,4,Intel HD Graphics 620,No OS,1.86,2.5,Intel,500.0,HDD,20986.992
HP,Notebook,15.6,1920x1080,4,Intel HD Graphics 520,No OS,1.86,2.0,Intel,500.0,HDD,18381.0672
Apple,Ultrabook,15.4,2880x1800,16,AMD Radeon Pro 555,macOS,1.83,2.8,Intel,256.0,SSD,130001.6016
Dell,Notebook,15.6,1920x1080,4,AMD Radeon R5 M430,Windows 10,2.2,2.0,Intel,256.0,SSD,26581.392
Apple,Ultrabook,12.0,2304x1440,8,Intel HD Graphics 615,macOS,0.92,1.2,Intel,256.0,SSD,67260.672
Apple,Ultrabook,13.3,2560x1600,8,Intel Iris Plus Graphics 640,macOS,1.37,2.3,Intel,256.0,SSD,80908.344
Dell,Notebook,15.6,1920x1080,8,AMD Radeon R5 M430,Windows 10,2.2,2.7,Intel,256.0,SSD,39693.6
Apple,Ultrabook,15.4,2880x1800,16,AMD Radeon Pro 560,macOS,1.83,2.9,Intel,512.0,SSD,152274.24
Lenovo,Notebook,15.6,1920x1080,8,Nvidia GeForce 940MX,No OS,2.2,2.4,Intel,1024.0,HDD,26586.72
Dell,Ultrabook,13.3,1920x1080,8,Intel UHD Graphics 620,Windows 10,1.22,1.6,Intel,128.0,SSD,52161.12
Lenovo,Gaming,15.6,1920x1080,8,Nvidia GeForce GTX 1050,Windows 10,2.5,2.5,Intel,128.0,SSD,53226.72
HP,Notebook,15.6,1366x768,4,AMD Radeon R2,No OS,1.86,1.5,AMD,500.0,HDD,13746.24
Dell,2 in 1 Convertible,13.3,1920x1080,8,Intel UHD Graphics 620,Windows 10,1.62,1.6,Intel,256.0,SSD,43636.32
HP,Ultrabook,15.6,1920x1080,8,Intel HD Graphics 620,Windows 10,1.91,1.8,Intel,256.0,SSD,35111.52
Dell,Notebook,15.6,1366x768,4,Intel HD Graphics 520,Windows 10,2.3,2.0,Intel,1024.0,HDD,22305.1392
Apple,Ultrabook,13.3,1440x900,8,Intel HD Graphics 6000,Mac OS X,1.35,1.6,Intel,128.0,Flash,58554.72
Dell,Notebook,15.6,1920x1080,8,AMD Radeon 530,Windows 10,2.2,1.6,Intel,256.0,SSD,42624.0
Dell,Ultrabook,15.6,1920x1080,8,Intel UHD Graphics 620,Windows 10,1.88,1.9,Intel,256.0,SSD,69157.44
HP,Notebook,17.3,1920x1080,8,Nvidia GeForce 930MX,Windows 10,2.5,1.6,Intel,1024.0,HDD,47738.88
Chuwi,Notebook,15.6,1920x1080,4,Intel HD Graphics,Windows 10,1.89,1.44,Intel,64.0,Flash,13053.0672
Asus,Notebook,14.0,1366x768,2,AMD Radeon R2,Windows 10,1.65,1.5,AMD,32.0,Flash,10602.72
HP,Notebook,17.3,1920x1080,4,AMD Radeon 530,Windows 10,2.71,2.5,AMD,500.0,HDD,23389.92
Dell,Ultrabook,13.3,3200x1800,16,Intel UHD Graphics 620,Windows 10,1.2,1.8,Intel,512.0,SSD,99580.32
Apple,Ultrabook,13.3,1440x900,8,Intel HD Graphics 6000,Mac OS X,1.35,1.6,Intel,256.0,Flash,53173.44
Lenovo,Notebook,14.0,1366x768,4,Intel HD Graphics 500,Windows 10,1.44,1.1,Intel,64.0,Flash,13266.72
Acer,Notebook,15.6,1366x768,4,Intel HD Graphics 620,Linux,2.1,2.7,Intel,1024.0,HDD,19553.76
Dell,Notebook,17.3,1920x1080,8,AMD Radeon 530,Windows 10,2.8,1.6,Intel,128.0,SSD,52161.12
HP,Notebook,15.6,1366x768,4,Intel HD Graphics 620,Windows 10,1.86,2.5,Intel,1024.0,HDD,26037.4032
HP,Notebook,15.6,1920x1080,8,Nvidia GeForce 930MX ,Windows 10,2.1,1.6,Intel,256.0,SSD,46833.12
Asus,Notebook,15.6,1920x1080,4,Intel HD Graphics 620,Linux,2.0,2.0,Intel,1024.0,HDD,20725.92
Dell,Gaming,15.6,1920x1080,16,Nvidia GeForce GTX 1060,Windows 10,2.65,2.8,Intel,256.0,SSD,79866.72
