Company,TypeName,Inches,ScreenResolution,Ram,Gpu,OpSys,Weight,ResolutionType,Touchscreen,IPS,CpuSpeed,CpuMark,MemoryGB,MemoryKind,Price
Apple,Ultrabook,13.3,2560x1600,8.0,Intel,macOS,1.37,Retina Display,No,Yes,2.3,Intel,128.0,SSD,71378.6832
Apple,Ultrabook,13.3,1440x900,8.0,Intel,macOS,1.34,HD,No,No,1.8,Intel,128.0,Flash,47895.5232
HP,Notebook,15.6,1920x1080,8.0,Intel,No OS,1.86,Full HD,No,No,2.5,Intel,256.0,SSD,30636.0
Apple,Ultrabook,15.4,2880x1800,16.0,AMD,macOS,1.83,Retina Display,No,Yes,2.7,Intel,512.0,SSD,135195.336
Apple,Ultrabook,13.3,2560x1600,8.0,Intel,macOS,1.37,Retina Display,No,Yes,3.1,Intel,256.0,SSD,96095.808
Acer,Notebook,15.6,1366x768,4.0,AMD,Windows 10,2.1,HD,No,No,3.0,AMD,500.0,HDD,21312.0
Apple,Ultrabook,15.4,2880x1800,16.0,Intel,Mac OS X,2.04,Retina Display,No,Yes,2.2,Intel,256.0,Flash,114017.6016
Apple,Ultrabook,13.3,1440x900,8.0,Intel,macOS,1.34,HD,No,No,1.8,Intel,256.0,Flash,61735.536
Asus,Ultrabook,14.0,1920x1080,16.0,Nvidia,Windows 10,1.3,Full HD,No,No,1.8,Intel,512.0,SSD,79653.6
Acer,Ultrabook,14.0,1920x1080,8.0,Intel,Windows 10,1.6,Full HD,No,Yes,1.6,Intel,256.0,SSD,41025.6
HP,Notebook,15.6,1366x768,4.0,Intel,No OS,1.86,HD,No,No,2.5,Intel,500.0,HDD,20986.992
HP,Notebook,15.6,1920x1080,4.0,Intel,No OS,1.86,Full HD,No,No,2.0,Intel,500.0,HDD,18381.0672
Apple,Ultrabook,15.4,2880x1800,16.0,AMD,macOS,1.83,Retina Display,No,Yes,2.8,Intel,256.0,SSD,130001.6016
Dell,Notebook,15.6,1920x1080,4.0,AMD,Windows 10,2.2,Full HD,No,No,2.0,Intel,256.0,SSD,26581.392
Apple,Ultrabook,12.0,2304x1440,8.0,Intel,macOS,0.92,Retina Display,No,Yes,1.2,Intel,256.0,SSD,67260.672
Apple,Ultrabook,13.3,2560x1600,8.0,Intel,macOS,1.37,Retina Display,No,Yes,2.3,Intel,256.0,SSD,80908.344
Dell,Notebook,15.6,1920x1080,8.0,AMD,Windows 10,2.2,Full HD,No,No,2.7,Intel,256.0,SSD,39693.6
Apple,Ultrabook,15.4,2880x1800,16.0,AMD,macOS,1.83,Retina Display,No,Yes,2.9,Intel,512.0,SSD,152274.24
Lenovo,Notebook,15.6,1920x1080,8.0,Nvidia,No OS,2.2,Full HD,No,No,2.4,Intel,1024.0,HDD,26586.72
Dell,Ultrabook,13.3,1920x1080,8.0,Intel,Windows 10,1.22,Full HD,Yes,Yes,1.6,Intel,128.0,SSD,52161.12
Lenovo,Gaming,15.6,1920x1080,8.0,Nvidia,Windows 10,2.5,Full HD,No,Yes,2.5,Intel,128.0,SSD,53226.72
HP,Notebook,15.6,1366x768,4.0,AMD,No OS,1.86,HD,No,No,1.5,AMD,500.0,HDD,13746.24
Dell,2 in 1 Convertible,13.3,1920x1080,8.0,Intel,Windows 10,1.62,Full HD,Yes,No,1.6,Intel,256.0,SSD,43636.32
HP,Ultrabook,15.6,1920x1080,8.0,Intel,Windows 10,1.91,Full HD,No,No,1.8,Intel,256.0,SSD,35111.52
Dell,Notebook,15.6,1366x768,4.0,Intel,Windows 10,2.3,HD,No,No,2.0,Intel,1024.0,HDD,22305.1392
Apple,Ultrabook,13.3,1440x900,8.0,Intel,Mac OS X,1.35,HD,No,No,1.6,Intel,128.0,Flash,58554.72
Dell,Notebook,15.6,1920x1080,8.0,AMD,Windows 10,2.2,Full HD,No,No,1.6,Intel,256.0,SSD,42624.0
Dell,Ultrabook,15.6,1920x1080,8.0,Intel,Windows 10,1.88,Full HD,No,No,1.9,Intel,256.0,SSD,69157.44
HP,Notebook,17.3,1920x1080,8.0,Nvidia,Windows 10,2.5,Full HD,No,No,1.6,Intel,1024.0,HDD,47738.88
Chuwi,Notebook,15.6,1920x1080,4.0,Intel,Windows 10,1.89,Full HD,No,No,1.44,Intel,64.0,Flash,13053.0672
Asus,Notebook,14.0,1366x768,2.0,AMD,Windows 10,1.65,HD,No,No,1.5,AMD,32.0,Flash,10602.72
HP,Notebook,17.3,1920x1080,4.0,AMD,Windows 10,2.71,Full HD,No,No,2.5,AMD,500.0,HDD,23389.92
Dell,Ultrabook,13.3,3200x1800,16.0,Intel,Windows 10,1.2,Quad HD,Yes,No,1.8,Intel,512.0,SSD,99580.32
Apple,Ultrabook,13.3,1440x900,8.0,Intel,Mac OS X,1.35,HD,No,No,1.6,Intel,256.0,Flash,53173.44
Lenovo,Notebook,14.0,1366x768,4.0,Intel,Windows 10,1.44,HD,No,No,1.1,Intel,64.0,Flash,13266.72
Acer,Notebook,15.6,1366x768,4.0,Intel,Linux,2.1,HD,No,No,2.7,Intel,1024.0,HDD,19553.76
Dell,Notebook,17.3,1920x1080,8.0,AMD,Windows 10,2.8,Full HD,No,Yes,1.6,Intel,128.0,SSD,52161.12
HP,Notebook,15.6,1366x768,4.0,Intel,Windows 10,1.86,HD,No,No,2.5,Intel,1024.0,HDD,26037.4032
HP,Notebook,15.6,1920x1080,8.0,Nvidia,Windows 10,2.1,Full HD,No,No,1.6,Intel,256.0,SSD,46833.12
